date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2025-03-26 00:00:00 EDT",1742961600,97.75,101.69,WNW,30,13,30,82,-4.9,-2.2,-7,,16100,,3,,,,-1,-2.2
"2025-03-25 23:00:00 EDT",1742958000,97.74,101.67,WNW,29,17,,83,-3.5,-1,-6,,16100,1.7,4,,,,-0.8,-1
"2025-03-25 22:00:00 EDT",1742954400,97.72,101.65,W,27,21,,80,-3.8,-0.8,-6,,16100,1.7,4,,,,-0.6,-0.9
"2025-03-25 21:00:00 EDT",1742950800,97.71,101.64,W,27,18,,79,-3.8,-0.6,-6,,16100,1.7,4,,,,-0.4,-0.7
"2025-03-25 20:00:00 EDT",1742947200,97.66,101.59,W,26,22,,76,-4.1,-0.4,-6,,16100,1.7,4,,,,0,-0.4
"2025-03-25 19:00:00 EDT",1742943600,97.61,101.54,W,27,18,32,73,-4.2,0,-5,,16100,1.8,4,,,,0.3,0
"2025-03-25 18:00:00 EDT",1742940000,97.51,101.43,W,27,26,41,71,-4.3,0.4,,,16100,1.8,4,,,,0.5,-0.2
"2025-03-25 17:00:00 EDT",1742936400,97.45,101.37,W,28,28,,76,-3.7,0.1,,,16100,1.8,4,,,,0.6,-0.1
"2025-03-25 16:00:00 EDT",1742932800,97.38,101.3,W,27,26,39,70,-4.5,0.3,,,16100,1.8,4,,,,1.5,0.3
"2025-03-25 15:00:00 EDT",1742929200,97.33,101.24,W,27,28,,71,-4.1,0.5,,,16100,1.8,4,,,,0.6,-0.4
"2025-03-25 14:00:00 EDT",1742925600,97.31,101.22,W,26,26,,67,-5,0.5,,,16100,1.8,4,,,,1.2,0.4
"2025-03-25 13:00:00 EDT",1742922000,97.31,101.22,W,27,30,39,67,-4.9,0.6,,,16100,1.8,4,,,,1.3,0.6
"2025-03-25 12:00:00 EDT",1742918400,97.27,101.18,W,26,26,,70,-4.1,0.8,,,16100,1.8,4,,,,1,-0.3
"2025-03-25 11:00:00 EDT",1742914800,97.25,101.16,W,27,21,30,80,-3.2,-0.2,-6,,16100,1.8,4,,,,-0.2,-0.6
